Station,date,dsp_toxins
L7c1,2024-05-21,36
L7c1,2024-06-18,36
L7c1,2024-06-25,36
L7c1,2024-07-02,36
L7c1,2024-07-09,36
L7c1,2024-07-16,36
L7c1,2024-07-23,121.533463097894
L7c1,2024-07-30,129.602247196417
L7c1,2024-08-06,187.352469814318
L7c1,2024-08-13,321.197225382417
L7c1,2024-08-20,147.871709710892
L7c1,2024-08-27,247.00155271025
L7c1,2024-09-03,138.151662256594
L7c1,2024-09-10,118.402968859997
L7c1,2024-09-17,103.639788514567
L7c1,2024-09-24,63.7178659645146
L7c1,2024-10-01,80.3672647665548
L7c1,2024-10-08,36
L7c1,2024-10-15,36
L7c1,2024-10-22,70.3972037151114
L7c1,2024-10-29,66.9955967303243
L7c1,2024-11-05,57.3026866984177
L7c1,2024-11-12,36
L7c1,2024-11-19,36
L7c1,2024-11-26,36
L7c1,2024-12-04,36
L7c1,2024-12-10,36
L7c1,2024-12-30,36.0
L7c1,2025-01-07,36.0
L7c1,2025-01-14,36.0
L7c1,2025-01-28,36.0
L7c1,2025-02-04,36.0
L7c1,2025-02-11,36.0
L7c1,2025-02-18,36.0
L7c1,2025-02-25,36.0
L7c1,2025-03-07,36.0
L7c1,2025-03-18,36.0
L7c1,2025-03-25,36.0
L7c1,2025-04-08,36.0
L7c1,2025-04-15,108.46684729704
L7c1,2025-04-22,36.0
L7c1,2025-05-06,36.0
L7c1,2025-05-13,36.0
L7c1,2025-05-20,36.0
L7c1,2025-05-27,36.0
L7c1,2025-06-02,59.0945835699775
L7c1,2025-06-12,60.5514180734204
L7c1,2025-06-17,36.0
L7c1,2025-07-01,228.639119781855
L7c1,2025-07-08,125.123455154042
L7c1,2025-07-15,65.2821877363565
L7c1,2025-07-29,58.4260234487916
L7c1,2025-08-05,36.0
L7c1,2025-08-12,36.0
L7c1,2025-08-26,36.0
L7c1,2025-09-02,36.0
L7c1,2025-09-09,36.0
L7c1,2025-09-16,36.0
L7c1,2025-09-23,36.0
L7c1,2025-09-30,71.2235700597985
L7c1,2025-10-07,63.14260319364124
L7c1,2025-10-14,36.0
L7c1,2025-10-21,139.1690878440655
L7c1,2025-10-28,75.52357319567362
L7c1,2025-11-04,68.64673303260338
LAG,2021-01-05,36.0
LAG,2021-01-12,36.0
